Date	Price	Open	High	Low	Vol.	Change %
10-10-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
09-10-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
08-10-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
07-10-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
04-10-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
03-10-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
02-10-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
01-10-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
30-09-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
27-09-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
26-09-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
25-09-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
24-09-24	28,720.00	28,720.00	28,720.00	28,720.00		-6.36%
23-09-24	30,670.00	30,670.00	30,670.00	30,670.00		6.79%
20-09-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
19-09-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
18-09-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
17-09-24	28,720.00	28,720.00	28,720.00	28,720.00		0.00%
16-09-24	28,720.00	28,720.00	28,720.00	28,720.00		208237.86%
13-09-24	13.785	13.785	13.785	13.785		0.00%
12-09-24	13.785	13.785	13.785	13.785		0.00%
11-09-24	13.785	13.785	13.785	13.785		0.00%
10-09-24	13.785	13.785	13.785	13.785		0.00%
09-09-24	13.785	13.785	13.785	13.785		0.00%
06-09-24	13.785	13.785	13.785	13.785		0.00%
05-09-24	13.785	13.785	13.785	13.785		0.00%
04-09-24	13.785	13.785	13.785	13.785		0.00%
03-09-24	13.785	13.785	13.785	13.785		0.00%
02-09-24	13.785	13.785	13.785	13.785		-99.96%
30-08-24	30,670.00	13.871	30,670.00	13.698		221523.26%
29-08-24	13.839	13.855	14.046	13.682		-1.31%
28-08-24	14.023	13.832	14.037	13.832		-0.10%
27-08-24	14.037	13.829	14.037	13.673		1.56%
26-08-24	13.821	13.821	13.821	13.821		-1.43%
23-08-24	14.021	14.009	14.124	13.657		1.54%
22-08-24	13.808	13.824	13.98	13.651		0.02%
21-08-24	13.804	13.821	13.977	13.648		0.02%
20-08-24	13.801	13.818	13.974	13.645		0.07%
19-08-24	13.792	13.808	13.964	13.636		-1.71%
16-08-24	14.031	13.79	14.031	13.79		1.78%
15-08-24	13.786	13.803	13.959	13.628		-0.07%
14-08-24	13.797	13.797	13.797	13.797		5.12%
13-08-24	13.125	13.125	13.125	13.125		0.00%
12-08-24	13.125	13.125	13.125	13.125		-4.88%
09-08-24	13.798	13.781	13.954	13.625		-0.15%
08-08-24	13.819	13.969	14.009	13.798		0.27%
07-08-24	13.782	13.798	13.954	13.626		-1.58%
06-08-24	14.003	13.779	14.074	13.693		1.73%
05-08-24	13.765	13.782	13.992	13.61		-1.78%
02-08-24	14.015	13.79	14.084	13.618		1.59%
01-08-24	13.795	13.809	13.968	13.637		-0.05%
31-07-24	13.802	13.802	13.802	13.802		-0.07%
30-07-24	13.813	13.813	13.813	13.813		0.16%
29-07-24	13.791	13.808	13.964	13.635		-0.05%
26-07-24	13.799	13.802	13.802	13.799		0.10%
25-07-24	13.785	13.802	13.992	13.621		0.12%
24-07-24	13.769	13.785	13.941	13.613		-1.80%
23-07-24	14.021	13.769	14.028	13.762		0.81%
22-07-24	13.908	13.719	13.93	13.719		1.28%
19-07-24	13.733	13.733	13.733	13.733		-1.42%
18-07-24	13.93	13.74	13.963	13.74		1.31%
17-07-24	13.75	14.002	14.009	13.743		-1.95%
16-07-24	14.024	13.963	14.031	13.766		0.49%
15-07-24	13.956	13.766	13.956	13.736		-0.83%
12-07-24	14.073	13.763	14.073	13.763		2.33%
11-07-24	13.752	13.726	14.01	13.603		0.03%
10-07-24	13.748	13.748	13.748	13.748		0.06%
09-07-24	13.74	13.756	13.756	13.74		-0.15%
08-07-24	13.761	13.777	13.933	13.605		0.36%
05-07-24	13.711	13.711	13.711	13.711		-0.49%
04-07-24	13.778	13.778	13.778	13.778		0.46%
03-07-24	13.715	13.715	13.715	13.715		-1.31%
02-07-24	13.897	13.692	13.908	13.521		-0.08%
01-07-24	13.908	13.719	13.908	13.44		1.50%
28-06-24	13.703	13.719	14.011	13.395		0.16%
27-06-24	13.681	13.698	13.698	13.681		0.59%
26-06-24	13.601	13.617	13.617	13.601		0.03%
25-06-24	13.597	13.613	13.613	13.597		0.00%
24-06-24	13.597	13.597	13.597	13.597		-2.09%
21-06-24	13.888	13.888	13.892	13.602		2.13%
20-06-24	13.598	13.888	13.888	13.503		0.71%
18-06-24	13.503	13.503	13.503	13.503		0.17%
17-06-24	13.48	13.507	13.507	13.48		0.00%
14-06-24	13.48	13.496	13.692	13.334		-2.23%
13-06-24	13.787	13.5	13.787	13.5		2.14%
12-06-24	13.499	13.515	13.515	13.436		-0.74%
11-06-24	13.599	13.48	13.733	13.413		-0.40%
10-06-24	13.654	13.393	13.66	13.386		1.54%
07-06-24	13.447	13.693	13.7	13.44		-1.20%
06-06-24	13.61	13.452	13.676	13.37		1.99%
05-06-24	13.344	13.576	13.595	13.331		-1.95%
04-06-24	13.61	13.332	13.613	13.258		0.29%
03-06-24	13.57	13.327	13.61	13.32		1.90%
31-05-24	13.318	13.318	13.334	13.318		0.11%
30-05-24	13.304	13.318	13.502	13.152		0.00%
29-05-24	13.304	13.319	13.319	13.304		0.19%
28-05-24	13.279	13.538	13.578	12.98		-1.94%
27-05-24	13.541	13.259	13.541	13.185		1.35%
24-05-24	13.36	13.567	13.567	13.176		-1.83%
23-05-24	13.609	13.234	13.609	13.234		1.49%
22-05-24	13.41	13.292	13.539	13.21		0.75%
21-05-24	13.31	13.326	13.641	13.31		-0.45%
20-05-24	13.37	13.386	13.571	13.303		-0.32%
17-05-24	13.414	13.398	13.711	13.264		0.09%
16-05-24	13.401	13.417	13.536	13.283		-0.18%
15-05-24	13.426	13.41	13.711	13.276		-1.82%
14-05-24	13.674	13.429	13.685	13.361		1.42%
13-05-24	13.482	13.519	13.815	13.179		-0.49%
10-05-24	13.549	13.519	13.661	13.384		0.12%
09-05-24	13.533	13.533	13.533	13.533		-0.97%
08-05-24	13.665	13.665	13.665	13.665		-1.02%
07-05-24	13.806	13.669	13.874	13.541		0.95%
06-05-24	13.676	13.554	13.881	13.422		0.90%
03-05-24	13.554	13.554	13.57	13.554		1.01%
02-05-24	13.419	13.435	13.721	13.352		-2.28%
30-04-24	13.732	13.43	13.732	13.359		1.16%
29-04-24	13.575	13.422	13.642	13.355		-1.33%
26-04-24	13.757	13.55	13.757	13.325		2.81%
25-04-24	13.381	13.55	13.716	13.306		0.98%
24-04-24	13.252	13.386	13.551	13.185		-0.01%
23-04-24	13.254	13.254	13.471	13.187		-3.05%
22-04-24	13.671	13.289	13.679	13.189		0.82%
19-04-24	13.56	13.36	13.674	13.113		1.50%
17-04-24	13.36	13.378	13.52	13.344		-0.02%
16-04-24	13.362	13.362	13.55	13.362		-0.42%
15-04-24	13.419	13.418	13.74	13.202		-0.11%
12-04-24	13.434	13.418	13.629	13.418		-0.15%
11-04-24	13.454	13.517	13.647	13.454		-0.35%
10-04-24	13.501	13.501	13.856	13.164		-0.37%
09-04-24	13.551	13.576	13.887	13.196		-0.20%
08-04-24	13.578	13.562	13.9	13.222		-99.96%
05-04-24	30,670.00	31,824.65	32,208.05	27,487.45		16.12%
04-04-24	26,412.75	22,910.00	27,573.85	22,910.00		15.27%
03-04-24	22,913.44	21,735.65	23,944.55	21,735.65		-0.41%
02-04-24	23,008.72	22,882.55	23,569.92	21,735.65		4.32%
29-03-24	22,055.50	22,081.70	22,146.10	21,991.10		-0.12%
28-03-24	22,081.70	22,081.70	22,108.00	21,707.50		1.72%
27-03-24	21,707.50	22,001.05	22,523.95	21,550.00		-2.47%
26-03-24	22,257.35	20,945.00	22,294.95	20,945.00		10.64%
25-03-24	20,117.50	20,117.50	20,117.50	20,117.50		1.59%
22-03-24	19,803.50	20,844.15	20,844.15	19,803.50		-1.40%
21-03-24	20,084.60	19,332.40	20,084.60	19,332.40		6.07%
20-03-24	18,935.00	19,332.40	20,299.00	18,630.00		1.64%
19-03-24	18,630.00	18,630.00	19,891.65	18,630.00		-0.07%
18-03-24	18,643.20	18,621.06	19,552.15	18,223.60		2.41%
15-03-24	18,205.00	17,852.05	19,112.00	16,590.90		1.98%
14-03-24	17,852.05	17,852.05	17,852.05	17,190.70		-1.25%
13-03-24	18,077.20	18,077.20	18,077.20	18,077.20		4.96%
12-03-24	17,223.55	16,898.45	17,223.55	16,898.45		4.01%
11-03-24	16,559.19	16,559.19	16,559.19	16,559.19		1.53%
08-03-24	16,309.10	16,289.75	16,309.10	16,289.75		0.12%
07-03-24	16,289.75	16,012.85	16,799.20	15,993.78		1.85%
06-03-24	15,993.78	15,691.35	16,793.50	15,672.69		1.93%
05-03-24	15,691.35	15,412.25	16,456.35	15,393.91		1.81%
04-03-24	15,412.25	15,116.00	16,239.45	15,098.02		-0.41%
01-03-24	15,475.50	14,930.60	15,852.90	14,912.83		-1.17%
29-02-24	15,658.45	14,641.70	15,754.70	14,624.31		9.35%
28-02-24	14,320.00	15,005.60	15,481.55	13,482.45		0.00%
27-02-24	14,320.00	14,027.35	15,241.80	13,968.10		2.19%
26-02-24	14,012.50	13,752.70	14,711.25	13,482.45		4.05%
23-02-24	13,467.50	13,991.55	14,569.10	13,164.03		0.00%
22-02-24	13,467.50	13,164.03	14,139.75	12,970.55		2.30%
21-02-24	13,165.00	13,165.00	13,165.00	13,165.00		0.01%
20-02-24	13,164.03	12,970.55	13,822.20	12,597.58		0.24%
19-02-24	13,132.50	12,612.60	13,279.05	12,612.60		4.25%
16-02-24	12,597.50	12,327.70	13,069.95	11,464.30		2.56%
15-02-24	12,283.00	12,108.05	12,928.65	12,108.05		1.55%
